year,month,법무부?KTO,,,일본 JNTO,,중국 국가관광국,,대만 교통부 관광국,,홍콩 정부관광국,,태국 정부관광국,,베트남 정부 관광국,,마카오정부 관광국,,싱가포르 정부관광국,,스리랑카 관광국,,필리핀 관광청,,캄보디아 관광청,,인도네시아관광국,,말레이시아 정부 관광국,,이스라엘 관광국,,터키 관광국,,몽골 통계청,,몰디브 관광국,,미얀마 관광국,,인도 관광청,,키프로스 통계청,,부탄 관광국,,요르단 관광국,,라오스 통계청,,네팔 관광국,,예멘 관광국,
,,출국자수,국적기준,,입국자 수,국적기준,입국자 수,국적기준,입국자 수,거주지 기준,입국자 수,거주지 기준,입국자 수,국적기준,입국자 수,국적 기준,입국자 수,국적 기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,거주지 기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,국적 기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준
,,명수,전년대비,,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비, 명수 ,전년대비, 명수 ,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비
2008년,9월,"818,747",-19.40%,,"159,523",-20.70%,"273,132",-24.40%,"16,448",-7.00%,"55,338",-16.80%,"38,211",-46.10%,"30,417",-18.40%,"16,774",-2.10%,"25,914",-14.30%,216,-30.10%,"36,965",-14.20%,"14,699",-3.40%,"23,347",-0.90%,"18,617",30.60%,"2,483",114.10%,"7,923",,,,,,706,-9.90%,,,0,-,,,,,,,526,-39.70%,37,-36.20%
2008년,10월,"932,716",-13.50%,,"188,804",-15.20%,"334,680",-19.20%,"17,392",12.30%,"66,823",2.60%,"59,713",-22.60%,"33,898",8.30%,"19,889",18.20%,"30,930",-7.30%,414,12.20%,"45,007",-9.40%,"18,457",-8.80%,"29,941",4.30%,"19,257",42.20%,"3,000",35.90%,"8,990",,,,,,816,64.80%,"14,524",-32.90%,0,-100.00%,,,,,,,"1,074",24.40%,95,39.70%
2008년,11월,"707,012",-34.10%,,"117,518",-46.20%,"238,319",-37.20%,"14,219",-32.60%,"56,108",2.30%,"54,854",-43.20%,"24,360",-36.70%,"15,028",-26.60%,"24,442",-44.40%,301,-46.90%,"44,441",-30.50%,"16,553",-28.70%,"26,879",-16.60%,"17,323",-38.90%,"2,700",15.20%,"7,033",,,,,,853,18.50%,,,0,-100.00%,,,,,,,827,-15.50%,73,49.00%
2008년,12월,"667,564",-38.30%,,"108,002",-48.30%,"217,975",-39.10%,"12,205",-46.80%,"58,839",-41.40%,"33,193",-68.60%,"32,727",-24.70%,"16,360",-42.90%,"22,304",-43.70%,258,-44.50%,"51,794",-22.60%,"15,084",-46.30%,"24,272",-15.80%,"18,666",16.80%,"1,200",3.70%,"4,891",,,,,,872,-36.10%,,,0,-,,,,,,,950,-9.50%,146,21.70%
2009년,1월,"812,901",-38.60%,,"129,756",-52.20%,"238,000",-44.20%,"16,057",-51.00%,"58,451",-42.60%,"56,484",-52.30%,"30,934",-34.50%,"18,489",-48.00%,"25,516",-49.40%,376,-40.30%,"54,753",-21.20%,"22,524",-38.20%,"17,339",-47.60%,"23,690",-9.60%,"1,500",-73.60%,"5,730",-60.40%,"11,084",-24.30%,523,,"1,190",-44.30%,"17,128",-40.50%,0,-,49,-49.50%,"9,119",-37.20%,"2,222",,"1,208",-54.90%,,
2009년,2월,"753,642",-33.50%,,"106,929",-54.50%,"277,900",-30.10%,"16,897",-41.50%,"54,222",-43.80%,"57,782",-42.10%,"39,271",-17.30%,"15,849",-52.90%,"27,387",-33.20%,290,-27.90%,"42,091",-25.90%,"22,045",-29.30%,"24,258",-7.20%,"19,693",-26.00%,"1,800",-71.20%,"4,819",-49.50%,,,768,,"1,093",-22.20%,,,0,-,,,,,"1,433",,"1,046",-26.10%,,
2009년,3월,"702,043",-28.60%,,"108,350",-42.20%,"242,700",-30.50%,"14,458",-32.10%,"44,204",-39.20%,"49,867",-41.90%,"32,572",-30.30%,"13,482",-39.90%,"20,759",-47.70%,429,37.50%,"38,116",-21.90%,"19,370",-35.10%,"20,387",-30.80%,"16,471",-24.30%,"2,300",-32.60%,"6,063",-35.80%,,,978,,909,-34.20%,,,0,-,,,,,"1,394",,788,-34.20%,,
2009년,4월,"734,681",-28.40%,,"113,313",-44.40%,"264,300",-28.30%,"13,294",-38.60%,"50,589",-27.50%,"45,094",-41.30%,"31,285",-24.60%,"16,279",-15.10%,"21,323",-37.20%,134,-66.70%,"39,083",-13.90%,"16,744",-32.50%,"21,651",-8.90%,"18,122",-14.60%,"1,600",-61.60%,"7,718",-40.70%,,,"1,264",,739,-1.90%,"13,604",-13.50%,25,-,,,,,974,,"1,050",73.00%,,
2009년,5월,"737,396",-33.00%,,"117,897",-48.50%,"269,000",-29.30%,"14,163",-39.10%,"48,796",-43.60%,"42,883",-45.60%,"37,659",-2.10%,"17,414",-33.60%,"21,854",-40.00%,252,-12.50%,"40,392",-18.40%,"13,269",-33.20%,"20,851",-32.30%,"17,520",-22.00%,"1,200",-60.80%,"7,080",-44.20%,,,"1,985",,756,29.70%,,,0,-,,,,,"1,036",,492,-23.00%,,
2009년,6월,"731,137",-27.20%,,"104,237",-46.70%,"245,800",-19.30%,"13,327",-43.10%,"42,923",-41.50%,"42,813",-44.60%,"24,956",3.00%,"13,704",-36.00%,"20,991",-41.70%,231,-18.90%,"38,065",-27.80%,"12,393",-32.00%,"22,183",-24.40%,"16,934",-16.80%,"1,900",0.10%,"7,658",-21.10%,,,"1,417",,905,15.00%,,,35,-,,,,,941,,771,55.10%,,
2009년,7월,"996,695",-12.30%,,"170,240",-28.50%,"312,000",-4.60%,"14,367",-21.50%,"59,359",-24.40%,"58,970",-26.40%,"23,906",-26.30%,"20,400",-10.60%,"30,389",-23.30%,488,7.70%,"49,083",-15.20%,"17,384",-10.70%,"26,714",-3.60%,"22,297",-19.00%,"1,800",2.50%,"10,706",-5.00%,"10,299",-44.00%,763,,"1,186",20.40%,"20,229",-2.50%,0,-,,,,,"2,340",,"1,310",2.80%,,
2009년,8월,"1,041,527",-10.50%,,"190,987",-23.00%,"351,500",2.90%,"13,886",-38.00%,"66,398",-24.50%,"64,965",-23.90%,"36,386",-26.90%,"25,727",-15.40%,"32,332",-23.60%,380,12.10%,"47,185",-10.60%,"18,170",-16.70%,"25,550",-21.00%,"23,305",-15.20%,"1,700",-13.90%,"10,350",-1.70%,,,878,,"1,236",13.10%,,,0,-,,,,,"1,574",,"1,052",20.80%,,
2009년,9월,"658,487",-19.60%,,"105,470",-33.90%,"233,600",-14.50%,"11,630",-29.30%,"36,080",-34.80%,"28,467",-25.50%,"25,389",-16.50%,"11,891",-29.10%,"15,714",-39.40%,218,0.90%,"25,114",-32.10%,"15,156",3.10%,"14,100",-39.60%,"13,743",-26.20%,"2,300",-7.40%,"7,155",-9.70%,,,"1,442",,946,34.00%,,,0,-,,,,,"1,096",,658,25.10%,,
2009년,10월,"714,880",-23.40%,,"131,195",-30.50%,"255,700",-23.60%,"10,817",-37.80%,"42,211",-36.80%,"38,512",-35.50%,"15,109",-55.40%,"13,724",-31.00%,"16,069",-48.00%,372,-10.10%,"26,649",-40.80%,"10,274",-44.30%,"20,661",-31.00%,"14,228",-26.10%,"1,900",-36.70%,"7,727",-14.00%,"5,806",,"2,032",,960,17.60%,"19,524",34.40%,0,-,,,,,"1,315",,"1,120",4.30%,,
2009년,11월,"721,940",2.10%,,"130,371",10.90%,"236,700",-0.70%,"12,617",-11.30%,"48,428",-13.70%,"52,109",-5.00%,"29,917",22.80%,"15,144",0.80%,"19,619",-19.70%,292,-3.00%,"40,780",-8.20%,"12,086",-27.00%,"20,200",-24.80%,"20,816",20.20%,"1,600",-40.70%,"6,168",-12.30%,,,"2,673",,"1,462",71.40%,,,0,-,,,,,"1,513",,"1,109",34.10%,,
2009년,12월,"888,782",33.10%,,"178,027",64.80%,"270,300",24.00%,"16,128",32.10%,"67,033",13.90%,"80,281",141.90%,"34,731",6.10%,"22,664",38.50%,"20,029",-10.20%,233,-9.70%,"56,625",9.30%,"18,310",21.40%,"21,654",-10.80%,"20,493",9.80%,"1,300",8.30%,"7,974",63.00%,,,"1,403",,"1,126",29.10%,,,0,-,,,,,"2,038",,"1,188",25.10%,,
2010년,1월,"1,118,261",37.60%,,"232,053",78.80%,"315,200",32.40%,"18,078",12.60%,"82,126",40.50%,"92,186",63.20%,"43,041",39.10%,"30,302",63.90%,"39,432",54.50%,591,57.20%,"71,906",31.30%,"84,062",31.50%,"27,663",69.50%,"28,250",19.20%,"5,800",286.70%,"10,095",76.20%,"1,599",36.40%,"1,128",115.70%,"1,951",63.90%,"29,536",72.40%,0,-,182,271.40%,"13,479",47.80%,"3,228",45.30%,"2,261",87.20%,,
2010년,2월,"908,103",20.50%,,"197,784",85.00%,"283,400",2.00%,"18,063",6.90%,"72,873",34.40%,"74,089",28.20%,"44,284",12.80%,"27,608",74.20%,"29,588",8.00%,441,52.10%,"50,756",20.60%,,,"20,562",-14.80%,"23,966",21.70%,"4,100",127.80%,"7,650",58.70%,,,772,0.50%,"1,063",-2.70%,,,0,-,,,,,"1,871",30.60%,"1,272",21.60%,,
2010년,3월,"950,185",35.30%,,"169,295",56.20%,"334,500",37.80%,"18,603",28.70%,"70,336",59.10%,"75,386",51.20%,"45,722",40.40%,"25,243",87.20%,"30,108",45.00%,360,-16.10%,"52,060",36.60%,,,"22,649",18.40%,"18,975",15.20%,"4,000",73.90%,"9,768",61.10%,,,"1,442",47.40%,"1,560",71.60%,,,50,-,,,,,"2,020",44.90%,"1,325",68.10%,,
2010년,4월,"935,904",27.40%,,"189,582",67.30%,"336,500",27.30%,"15,789",18.80%,"65,361",29.20%,"51,901",15.10%,"43,152",37.90%,"25,268",55.20%,"24,772",16.20%,246,83.60%,"48,128",23.10%,"41,393",37.90%,"20,049",-1.80%,"20,040",10.60%,"4,300",168.80%,"12,184",57.90%,"13,521",,"2,194",73.60%,"1,175",59.00%,"21,411",57.40%,0,-100.00%,,,,,"1,962",101.40%,"1,263",20.30%,,
2010년,5월,"1,023,815",38.80%,,"201,484",70.90%,"351,200",30.60%,"19,286",36.20%,"70,554",44.60%,"44,447",3.60%,"40,716",8.10%,"25,341",45.50%,"32,153",47.10%,247,-2.00%,"56,566",40.00%,,,"24,041",21.70%,"20,047",14.40%,"2,800",133.30%,"12,320",74.00%,,,"4,942",149.00%,"1,367",80.80%,,,0,-,,,,,"1,615",55.90%,423,-14.00%,,
2010년,6월,"997,597",36.40%,,"179,088",71.80%,"341,000",38.70%,"17,023",27.70%,"58,162",35.50%,"44,454",3.80%,"35,448",42.00%,"21,332",55.70%,"30,024",43.00%,303,31.20%,"54,201",42.40%,"65,326",36.20%,"24,066",17.60%,"19,788",16.90%,"3,000",57.90%,"10,195",33.10%,,,"1,517",7.10%,"1,379",52.40%,,,0,-100.00%,,,,,"1,912",103.20%,499,-35.30%,,
2010년,7월,"1,223,723",22.80%,,"236,092",38.70%,"387,100",24.10%,"17,172",19.50%,"76,011",28.10%,"63,314",7.40%,"36,827",54.00%,"28,590",40.10%,"32,665",7.50%,443,-9.20%,"72,731",48.20%,,,"26,961",10.60%,"30,500",36.80%,"3,100",72.20%,"12,250",14.40%,"21,658",110.30%,969,27.00%,"1,714",44.50%,"23,992",18.60%,16,-,,,,,"2,822",20.60%,"1,282",-2.10%,,
2010년,8월,"1,235,742",18.60%,,"246,882",29.30%,"416,300",18.40%,"19,934",43.60%,"90,091",35.70%,"69,738",7.30%,"42,328",16.30%,"36,071",40.20%,"34,169",5.70%,456,20.00%,"68,047",44.20%,,,"27,256",15.10%,"27,108",16.30%,"1,900",11.80%,"11,252",8.70%,,,943,7.40%,"1,724",39.50%,,,0,-,,,,,"2,935",86.50%,"1,353",28.60%,,
2010년,9월,"1,013,123",53.90%,,"193,975",83.90%,"324,900",39.10%,"17,953",54.40%,"74,638",106.90%,"59,148",107.80%,"33,861",33.40%,"29,475",147.90%,"25,649",63.20%,233,6.90%,"57,618",129.40%,"16,631",9.70%,"18,955",44.80%,"17,292",25.80%,"2,400",4.30%,"10,073",40.80%,,,"1,243",-13.80%,"1,281",35.40%,,,77,-,,,,,"2,179",98.80%,"1,001",52.10%,,
2010년,10월,"1,055,581",47.70%,,"193,829",47.70%,"372,900",45.80%,"17,103",58.10%,"66,466",57.50%,"71,717",86.20%,"39,197",159.40%,"21,931",59.80%,"28,993",80.40%,224,-39.80%,"59,991",125.10%,"82,290",102.30%,"25,020",27.80%,"14,943",5.00%,"3,200",68.40%,"11,386",47.40%,"5,453",-6.10%,"4,102",101.90%,"1,655",72.40%,"20,647",5.70%,0,-,,,,,"2,158",64.10%,"1,412",26.10%,,
2010년,11월,"1,004,902",39.20%,,"197,244",51.30%,"318,600",34.60%,"19,532",54.80%,"74,845",54.50%,"77,298",48.30%,"45,797",116.80%,"26,832",77.20%,"27,812",41.80%,458,56.80%,"67,393",65.30%,,,"23,019",17.40%,"22,000",5.70%,"2,300",43.80%,"8,678",40.70%,,,"3,898",45.80%,"1,952",33.50%,,,0,-,,,,,"2,305",52.30%,"1,607",44.90%,,
2010년,12월,"1,021,428",14.90%,,"202,508",13.70%,"294,800",9.10%,"18,365",13.90%,"89,561",33.60%,"81,767",1.90%,"45,529",99.40%,"33,775",49.00%,"25,250",26.10%,424,82.00%,"81,225",43.40%,,,"21,544",6.10%,"21,143",3.20%,"1,400",7.70%,"7,464",-6.40%,,,"1,658",18.20%,"2,109",87.30%,,,0,-,,,,,"2,305",13.10%,"1,453",22.30%,,
2011년,1월,"1,268,007",13.40%,,"268,368",15.60%,"323,200",2.50%,"24,316",30.80%,"102,546",24.90%,"116,450",26.30%,"51,794",20.30%,"42,127",39.00%,"41,070",4.20%,727,23.00%,"92,249",28.30%,"198,780",96.00%,"27,432",-0.70%,"27,995",-0.90%,"6,200",6.90%,"13,131",30.10%,"5,161",222.80%,"1,154",2.30%,"2,608",33.70%,"30,322",2.70%,0,-,407,123.60%,"17,859",32.50%,"4,254",31.80%,"2,720",20.30%,,
2011년,2월,"1,091,628",20.20%,,"231,640",17.10%,"320,800",13.20%,"23,190",28.40%,"90,597",24.30%,"96,958",30.90%,"50,718",14.50%,"39,332",42.50%,"36,810",24.40%,405,-8.20%,"73,619",45.00%,,,"24,731",20.30%,"18,144",-24.30%,"4,100",0.00%,"9,548",24.80%,,,"1,147",48.60%,"1,847",73.80%,,,24,-,,,,,"3,209",71.50%,"1,652",29.90%,,
2011년,3월,"868,694",-8.60%,,"89,121",-47.40%,"308,800",-7.70%,"19,531",5.00%,"66,392",-5.60%,"75,395",0.00%,"41,462",-9.30%,"24,971",-1.10%,"29,619",-1.60%,471,30.80%,"62,530",20.10%,,,"22,637",-0.10%,"16,505",-13.00%,"2,300",-42.50%,"11,317",15.90%,,,"1,257",-12.80%,"2,035",30.40%,,,0,-100.00%,,,,,"2,305",14.10%,"1,485",12.10%,,
2011년,4월,"867,487",-7.30%,,"63,790",-66.40%,"348,800",3.70%,"18,656",18.20%,"74,392",13.80%,"69,858",34.60%,"43,817",1.50%,"25,865",2.40%,"28,004",13.00%,315,28.00%,"57,620",19.70%,,,"22,239",10.90%,"15,795",-21.20%,"1,600",-62.80%,"13,025",6.90%,"11,039",-18.40%,"1,863",-15.10%,"1,213",3.20%,"25,322",18.30%,26,-,,,,,"2,198",12.00%,"1,310",3.70%,,
2011년,5월,"1,014,409",-0.90%,,"84,014",-58.30%,"384,900",9.60%,"20,413",5.80%,"83,827",18.80%,"79,706",79.30%,"38,488",-5.50%,"31,975",26.20%,"33,736",4.90%,328,32.80%,"67,289",19.00%,,,"24,317",1.10%,"19,599",-2.20%,"2,300",-17.90%,"15,305",24.20%,,,"3,031",-38.70%,"1,551",13.50%,,,58,-,,,,,"2,024",25.30%,821,94.10%,,
2011년,6월,"1,053,658",5.60%,,"103,817",-42.00%,"377,900",10.80%,"20,161",18.40%,"79,869",37.30%,"76,993",73.20%,"39,407",11.20%,"31,114",45.90%,"34,233",14.00%,369,21.80%,"76,262",40.70%,,,"25,475",5.90%,"19,086",-3.50%,"2,100",-30.00%,"13,678",34.20%,,,"1,869",23.20%,"1,759",27.60%,,,0,-,,,,,"2,585",35.20%,678,35.90%,,
2011년,7월,"1,241,629",1.50%,,"140,053",-40.70%,"395,400",2.10%,"17,752",3.40%,"89,604",17.90%,"95,806",51.30%,"38,948",5.80%,"35,337",23.60%,"40,587",24.30%,707,59.60%,"93,899",29.10%,,,"28,607",6.10%,"29,200",-4.30%,"2,500",-19.40%,"15,702",28.20%,"21,983",1.50%,"1,204",24.30%,"1,973",15.10%,"24,562",2.40%,70,337.50%,,,,,"3,541",25.50%,"1,588",23.90%,,
2011년,8월,"1,247,222",0.90%,,"147,030",-40.40%,"420,300",1.00%,"21,348",7.10%,"104,831",16.40%,"112,238",60.90%,"52,072",23.00%,"45,132",25.10%,"44,364",29.80%,462,1.30%,"91,750",34.80%,"28,765",,"26,461",-2.90%,"29,048",7.20%,"2,200",15.80%,"14,420",28.20%,,,"1,051",11.50%,"1,827",6.00%,,,87,-,,,,,"3,418",16.50%,"1,208",-10.70%,,
2011년,9월,"1,013,507",0.00%,,"122,436",-36.90%,"336,100",3.40%,"17,996",0.20%,"72,652",-2.70%,"74,198",25.40%,"23,449",-30.70%,"26,677",-9.50%,"30,112",17.40%,281,20.60%,"71,683",24.40%,"19,836",19.30%,"21,590",13.90%,"18,150",5.00%,"2,300",-4.20%,"12,891",28.00%,,,"1,893",52.30%,"1,487",16.10%,,,25,-67.50%,,,,,"2,341",7.40%,707,-29.40%,,
2011년,10월,"1,032,589",-2.20%,,"132,259",-31.80%,"368,300",-1.20%,"17,859",4.40%,"76,859",15.60%,"74,602",4.00%,"47,888",22.20%,"27,391",24.90%,"33,594",15.90%,547,144.20%,"69,962",16.60%,"26,237",16.00%,"25,507",1.90%,"20,263",35.60%,"2,300",-28.10%,"13,845",21.60%,"5,811",6.60%,"4,451",8.50%,"1,718",3.80%,"28,474",37.90%,0,-,,,,,"2,751",27.50%,"1,827",29.40%,,
2011년,11월,"974,255",-3.00%,,"134,009",-32.10%,"307,500",-3.50%,"20,878",6.90%,"81,146",8.40%,"61,784",-20.10%,"54,729",19.50%,"30,381",13.20%,"33,145",19.20%,473,3.30%,"82,248",22.00%,"31,304",,"28,643",24.40%,"24,269",10.30%,"2,500",8.70%,"8,273",-4.70%,,,"3,919",0.50%,"2,148",10.00%,,,0,-,,,,,"2,640",14.50%,"1,788",11.30%,,
2011년,12월,"1,020,648",-0.10%,,"141,536",-30.10%,"293,400",-0.50%,"20,802",13.30%,"98,281",9.70%,"72,295",-11.60%,"52,928",16.30%,"38,505",14.00%,"29,605",17.20%,400,-5.70%,"86,093",6.00%,"37,888",,"24,545",13.90%,"25,374",20.00%,"1,400",0.00%,"8,808",18.00%,,,"2,446",47.50%,"2,358",11.80%,,,0,-,,,,,"3,450",49.70%,"1,711",17.80%,,
2012년,1월,"1,200,782",-5.30%,,"173,000",-35.50%,"297,800",-7.90%,"25,760",5.90%,"110,448",7.70%,"100,202",-14.00%,"60,624",17.00%,"46,176",9.60%,"45,933",11.80%,897,23.40%,"102,166",10.80%,"256,315",28.90%,"29,758",8.50%,"29,740",6.20%,"4,200",-32.30%,"12,578",-4.20%,"5,078",-1.60%,930,-19.40%,"3,853",47.70%,"109,469",0.70%,0,-,630,54.80%,"18,225",2.00%,"53,829",55.10%,"2,936",7.90%,,
2012년,2월,"1,150,334",5.40%,,"169,025",-27.00%,"336,000",4.70%,"23,284",0.40%,"110,751",22.20%,"102,945",6.20%,"81,220",60.10%,"45,441",15.50%,"45,397",23.30%,645,59.30%,"89,758",21.90%,,,"30,175",22.00%,"27,922",53.90%,"5,500",34.10%,"10,718",12.30%,,,"1,600",39.50%,"2,639",42.90%,,,0,-100.00%,,,,,,,"2,173",31.50%,,
2012년,3월,"1,018,952",17.30%,,"150,291",68.60%,"320,400",3.80%,"21,571",10.40%,"82,981",25.00%,"89,463",18.70%,"64,484",55.50%,"33,965",36.00%,"34,077",15.10%,645,36.90%,"73,107",16.90%,,,"23,263",2.80%,"19,315",17.00%,"3,400",47.80%,"11,971",5.80%,,,"1,799",43.10%,"2,310",13.50%,,,0,-,,,,,,,"1,853",24.80%,,
2012년,4월,"1,018,645",17.40%,,"152,323",138.80%,"340,900",-2.30%,"19,862",6.50%,"73,401",-1.30%,"78,638",12.60%,"68,272",55.80%,"28,119",8.70%,"31,252",11.60%,421,33.70%,"65,312",13.30%,,,"23,085",3.80%,"18,116",14.70%,"2,900",81.30%,"14,514",11.40%,"10,288",-6.80%,"2,225",19.40%,"1,867",53.90%,,,0,-100.00%,,,,,,,"1,360",3.80%,,
2012년,5월,"1,096,950",8.10%,,"157,141",87.00%,"368,700",-4.20%,"20,535",0.60%,"78,574",-6.30%,"73,476",-7.80%,"48,409",25.80%,"31,292",-2.10%,"33,018",-2.10%,493,50.30%,"66,827",-0.70%,,,"25,106",3.20%,"19,899",1.50%,"2,800",21.70%,"15,768",3.00%,,,"1,742",-42.50%,"1,986",28.00%,,,0,-100.00%,,,,,,,569,-30.70%,,
2012년,6월,"1,109,273",5.30%,,"152,131",46.50%,"347,200",-8.10%,"19,831",-1.60%,"75,664",-5.30%,"89,031",15.60%,"46,923",19.10%,"29,792",-4.20%,"34,394",0.50%,433,17.30%,"77,515",1.60%,,,"23,272",-8.60%,"23,261",21.90%,"2,300",9.50%,"13,343",-2.40%,,,"2,358",26.20%,"2,300",30.80%,,,0,-,,,,,,,"1,109",63.60%,,
2012년,7월,"1,305,418",5.10%,,"189,701",35.40%,"369,300",-6.60%,"18,976",6.90%,"88,247",-1.50%,"104,928",9.50%,"51,075",31.10%,"36,030",2.00%,"42,524",4.80%,897,26.90%,"103,377",10.10%,,,"28,279",-1.10%,"32,326",10.70%,"1,900",-24.00%,"15,958",1.60%,"23,372",6.30%,"1,518",26.10%,"2,851",44.50%,,,81,15.70%,,,,,,,"1,444",-9.10%,,
2012년,8월,"1,334,651",7.00%,,"201,764",37.20%,"403,400",-4.00%,"21,566",1.00%,"109,102",4.10%,"120,549",7.40%,"59,255",13.80%,"48,035",6.40%,"47,383",6.80%,708,53.20%,"101,061",10.10%,"30,895",7.40%,"24,224",-8.50%,"27,402",-5.70%,"1,800",-18.20%,"14,729",2.10%,,,"1,197",13.90%,"2,612",43.00%,,,0,-100.00%,,,,,,,"1,429",18.30%,,
2012년,9월,"1,059,709",4.60%,,"145,742",19.00%,"319,200",-5.00%,"19,439",8.00%,"76,876",5.80%,"84,266",13.60%,"46,208",97.10%,"32,585",22.10%,"31,247",3.80%,404,43.80%,"73,795",2.90%,"19,340",-2.50%,"22,339",3.50%,"22,380",23.30%,"1,700",-26.10%,"12,380",-4.00%,,,"2,292",21.10%,"2,755",85.30%,,,0,-100.00%,,,,,,,891,26.00%,,
2012년,10월,"1,154,742",11.80%,,"168,150",27.10%,"372,200",1.10%,"20,839",16.70%,"83,248",8.30%,"97,324",30.50%,"49,695",3.80%,"34,502",26.00%,"34,712",3.30%,499,-8.80%,"79,519",13.70%,"31,132",18.70%,"24,686",-3.20%,"18,270",-9.80%,"2,300",0.00%,"14,038",1.40%,"5,622",-3.30%,"3,044",-31.60%,"3,414",98.70%,,,0,-,,,,,,,"1,527",-16.40%,,
2012년,11월,"1,117,550",14.70%,,"183,557",37.00%,"313,500",2.00%,"23,001",10.20%,"86,841",7.00%,"109,837",77.80%,"59,774",9.20%,"34,686",14.20%,"34,012",2.60%,871,84.10%,"89,656",9.00%,"30,259",-3.30%,"25,392",-11.40%,"22,469",-7.40%,"2,100",-16.00%,"11,903",43.90%,,,"2,819",-28.10%,"3,922",82.60%,,,0,-,,,,,,,"1,570",-12.20%,,
2012년,12월,"1,169,970",14.60%,,"199,950",41.30%,"281,200",-4.20%,"24,425",17.40%,"102,325",4.10%,"112,960",56.20%,"64,978",22.80%,"44,150",14.70%,"31,208",5.40%,925,131.30%,"109,062",26.70%,"43,550",14.90%,"24,277",-1.10%,"22,877",-9.80%,"1,300",-7.10%,"11,184",27.00%,,,"2,409",-1.50%,"4,296",82.20%,,,0,-,,,,,,,"1,683",-1.60%,,
2013년,1월,"1,425,900",18.70%,,"234,456",35.50%,"322,500",8.30%,"31,129",20.80%,"112,089",1.50%,"143,799",43.50%,"84,283",39.00%,"52,668",14.10%,"53,193",15.80%,"1,429",59.30%,"134,994",32.10%,"70,770",10.50%,"31,708",6.60%,"31,178",4.80%,"3,700",-11.90%,"16,530",31.40%,"5,375",5.80%,"1,410",151.60%,"6,565",70.40%,"112,619",2.90%,0,-,596,-5.40%,"18,683",2.50%,"81,799",52.00%,"3,265",11.20%,,
2013년,2월,"1,184,807",3.00%,,"234,390",38.70%,"280,900",-16.40%,"24,129",3.60%,"90,724",-18.10%,"110,734",7.60%,"72,348",-10.90%,"39,380",-13.30%,"40,229",-11.40%,576,-10.70%,"106,122",18.20%,"49,330",,"25,114",-16.80%,"26,397",-5.50%,"3,700",-32.70%,"12,534",16.90%,,,"1,050",-34.40%,"4,480",69.80%,,,0,-,,,,,,,"1,535",-29.40%,,
2013년,3월,"1,113,946",9.30%,,"206,946",37.70%,"315,000",-1.70%,"24,252",12.40%,"79,894",-3.70%,"96,983",8.40%,"67,745",5.10%,"36,786",8.30%,"36,755",7.90%,"1,349",109.10%,"87,338",19.50%,"41,971",,"25,083",7.80%,"21,920",13.50%,"2,100",-38.20%,"14,165",18.30%,,,"1,882",4.60%,"4,219",82.60%,,,0,-,,,,,,,"1,431",-22.80%,,
2013년,4월,"1,097,420",7.70%,,"204,229",34.10%,"319,900",-6.20%,"22,332",12.40%,"74,355",1.30%,"84,569",7.50%,"55,720",-18.40%,"30,616",8.90%,"31,296",0.10%,814,93.30%,"78,141",19.60%,"28,844",,"23,885",3.50%,"17,485",-3.50%,"3,000",3.40%,"17,016",17.20%,"10,479",1.90%,"2,569",15.50%,"3,551",90.20%,,,0,-,,,,,,,"1,281",-5.80%,,
2013년,5월,"1,185,405",8.10%,,"228,670",45.50%,"324,000",-12.10%,"23,154",12.80%,"80,457",2.40%,"88,950",21.10%,"51,101",5.60%,"33,113",5.80%,"33,857",2.50%,705,43.00%,"82,794",23.90%,"24,339",,"22,322",-11.10%,"19,612",-1.40%,"2,200",-21.40%,"17,788",12.80%,,,"2,729",56.70%,"36,119",49.60%,,,0,-,,,,,,,802,40.90%,,
2013년,6월,"1,221,491",10.10%,,"211,465",39.00%,"338,400",-2.50%,"21,165",6.70%,"77,314",2.20%,"95,099",6.80%,"54,673",16.50%,"33,570",12.70%,"36,409",5.90%,745,72.10%,"95,893",23.70%,"24,331",,"26,976",15.90%,"16,624",-28.50%,"1,800",-21.70%,"14,907",11.70%,,,"2,452",4.00%,,,,,0,-,,,,,,,849,-23.40%,,
2013년,7월,"1,417,422",8.60%,,"243,992",28.60%,"356,100",-3.60%,"23,025",21.30%,"84,779",-3.90%,"114,145",8.80%,"53,269",4.30%,"38,416",6.60%,"41,913",-1.40%,"1,149",28.10%,"121,716",17.70%,"43,709",,"29,417",4.00%,"31,270",-3.30%,"1,700",-10.50%,"15,200",-4.70%,"22,949",-1.80%,"2,031",33.80%,,,,,0,-100.00%,,,,,,,"1,457",0.90%,,
