year,month,법무부?KTO,,,일본 JNTO,,중국 국가관광국,,대만 교통부 관광국,,홍콩 정부관광국,,태국 정부관광국,,베트남 정부 관광국,,마카오정부 관광국,,싱가포르 정부관광국,,스리랑카 관광국,,필리핀 관광청,,캄보디아 관광청,,인도네시아관광국,,말레이시아 정부 관광국,,이스라엘 관광국,,터키 관광국,,몽골 통계청,,몰디브 관광국,,미얀마 관광국,,인도 관광청,,키프로스 통계청,,부탄 관광국,,요르단 관광국,,라오스 통계청,,네팔 관광국,,예멘 관광국,
,,출국자수,국적기준,,입국자 수,국적기준,입국자 수,국적기준,입국자 수,거주지 기준,입국자 수,거주지 기준,입국자 수,국적기준,입국자 수,국적 기준,입국자 수,국적 기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,거주지 기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,거주지 기준,입국자 수,거주국기준,입국자 수,국적 기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준,입국자 수,거주국기준
,,명수,전년대비,,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비, 명수 ,전년대비, 명수 ,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비,명수,전년대비
2005년,7월,"1,020,757",13.80%,,"170,420",6.00%,"336,050",18.30%,"14,237",27.20%,"57,983",16.80%,"82,743",10.70%,"25,624",,"10,235",78.40%,"42,961",20.80%,,,"47,265",51.70%,,,"30,276",50.00%,"16,227",144.70%,"1,693",33.40%,,,,,,,,,"12,623",,0,,,,,,,,,,,
2005년,8월,"1,070,289",15.00%,,"193,279",13.60%,"393,475",17.60%,"16,092",38.40%,"61,937",17.50%,"88,053",-2.10%,"32,408",,"11,708",61.90%,"42,791",11.10%,,,"46,366",31.20%,,,"27,500",20.10%,"18,067",91.10%,"4,394",48.80%,,,,,,,,,,,0,,,,,,,,,,,
2005년,9월,"785,549",15.10%,,"130,269",15.20%,"284,540",18.80%,"12,056",3.20%,"52,034",16.50%,"58,794",-10.30%,"22,975",,"7,553",19.50%,"25,572",-1.50%,,,"30,481",16.40%,,,"20,840",68.50%,"14,425",20.20%,"1,071",26.60%,,,,,,,,,,,0,,,,,,,,,,,
2005년,10월,"848,088",12.00%,,"146,650",19.30%,"314,111",15.10%,"14,055",19.00%,"57,183",17.20%,"75,330",-2.90%,"27,588",,"9,594",43.50%,"30,060",11.60%,,,"42,044",42.80%,,,"18,038",13.90%,"11,202",7.70%,"1,838",28.80%,,,,,,,,,"14,320",10.10%,0,,,,,,,,,,,
2005년,11월,"784,031",5.10%,,"140,442",9.40%,"255,440",4.80%,"15,199",9.50%,"53,115",-4.80%,"81,795",-20.60%,"27,656",,"10,870",45.80%,"31,277",-1.10%,,,"47,685",21.40%,,,"30,936",62.30%,"14,208",58.20%,907,8.20%,,,,,,,,,,,20,,,,,,,,,,,
2005년,12월,"790,681",9.00%,,"142,015",17.50%,"234,074",4.00%,"14,405",10.90%,"58,084",13.60%,"84,351",-6.20%,"27,472",,"14,479",88.50%,"32,789",16.10%,,,"50,643",32.90%,,,"17,797",-33.00%,"14,602",35.90%,"1,845",153.10%,,,,,,,,,,,0,,,,,,,,,,,
2006년,1월,"985,287",9.80%,,"192,590",10.20%,"268,689",-10.90%,"20,001",4.10%,"60,723",13.20%,"118,919",125.50%,"38,758",53.00%,"18,451",42.10%,"40,604",99.10%,660,,"58,583",29.80%,,,"23,988",52.50%,"15,051",31.30%,"3,615",10.20%,,,"25,753",,,,"1,316",,"22,601",54.60%,0,-,,,"11,824",35.80%,,,,,,
2006년,2월,"944,596",26.60%,,"174,239",17.00%,"322,009",22.10%,"18,518",18.00%,"59,013",27.90%,"113,858",107.70%,"42,231",60.80%,"18,200",88.00%,"40,835",66.40%,451,,"47,678",32.90%,,,"23,621",20.80%,"17,705",42.20%,"5,782",78.00%,,,,,,,"1,127",,,,0,-,,,,,,,,,,
2006년,3월,"823,918",16.50%,,"149,071",13.80%,"270,025",4.40%,"15,970",17.80%,"53,903",26.80%,"91,948",77.20%,"40,629",72.80%,"12,279",73.80%,"36,144",53.90%,482,,"38,507",18.60%,,,"22,605",30.50%,"15,529",29.80%,"3,560",123.20%,,,,,,,"1,115",,,,0,-100.00%,,,,,,,,,,
2006년,4월,"855,083",12.20%,,"162,657",33.20%,"296,361",1.20%,"13,682",-8.30%,"55,107",7.10%,"76,343",59.90%,"33,282",28.40%,"10,509",27.80%,"31,775",9.40%,322,,"39,115",14.40%,,,"23,086",11.10%,"14,233",30.30%,"2,660",43.60%,,,,,,,684,,"10,772",30.10%,0,-100.00%,,,,,,,,,,
2006년,5월,"906,482",13.00%,,"161,080",41.10%,"318,514",5.00%,"14,007",-13.40%,"52,803",3.90%,"79,708",28.50%,"27,155",11.90%,"10,705",17.70%,"34,237",18.40%,375,,"41,376",10.30%,,,"24,454",6.60%,"12,685",5.50%,"2,172",26.40%,,,,,,,"1,106",,,,9,-,,,,,,,,,,
2006년,6월,"915,942",5.80%,,"153,706",15.40%,"309,209",1.40%,"16,478",-2.60%,"52,135",-9.40%,"77,669",1.90%,"25,839",-8.30%,"10,482",13.40%,"36,325",12.20%,361,,"42,158",5.90%,,,"22,741",5.00%,"13,686",28.90%,"1,823",-25.40%,,,,,,,"2,143",,,,13,-,,,,,,,,,,
2006년,7월,"1,098,740",7.60%,,"197,622",16.00%,"363,925",8.30%,"14,462",1.60%,"60,239",3.90%,"89,563",8.20%,"28,534",11.40%,"13,314",30.10%,"45,671",6.30%,581,,"53,891",14.00%,,,"23,438",-22.60%,"15,781",-2.70%,"1,704",0.60%,,,"14,177",,,,"2,857",,"16,827",33.30%,0,-,,,,,,,,,,
2006년,8월,"1,159,874",8.40%,,"220,332",14.00%,"407,126",3.50%,"16,598",3.10%,"67,950",9.70%,"96,122",9.20%,"37,756",16.50%,"15,697",34.10%,"44,853",4.80%,637,,"47,251",1.90%,,,"25,713",-6.50%,"18,751",3.80%,974,-77.80%,,,,,,,"3,096",,,,0,-,,,,,,,,,,
2006년,9월,"931,946",18.60%,,"156,451",20.10%,"334,169",17.40%,"13,004",7.90%,"51,784",-0.50%,"68,166",15.90%,"32,012",39.30%,"9,321",23.40%,"29,314",14.60%,411,,"37,921",24.40%,,,"22,375",7.40%,"14,846",2.90%,"1,068",-0.30%,,,,,,,872,,,,16,-,,,,,,,,,,
2006년,10월,"984,649",16.10%,,"187,601",27.90%,"371,216",18.20%,"16,737",19.10%,"61,428",7.40%,"77,956",3.50%,"32,746",18.70%,"11,394",18.80%,"35,012",16.50%,232,,"46,359",10.30%,,,"24,307",34.80%,"14,249",27.20%,"1,781",-3.10%,,,,,,,"1,174",,"20,207",41.10%,0,-,,,,,,,,,,
2006년,11월,"987,488",26.00%,,"177,298",26.20%,"333,138",30.40%,"17,763",16.90%,"64,470",21.40%,"100,890",23.30%,"39,434",42.60%,"13,406",23.30%,"43,778",40.00%,441,,"58,438",22.60%,,,"32,861",6.20%,"19,820",39.50%,"1,682",85.40%,,,,,,,"1,396",,,,10,-50.00%,,,,,,,,,,
2006년,12월,"1,015,874",28.50%,,"184,678",30.00%,"327,636",40.00%,"19,040",32.20%,"79,203",36.40%,"101,641",20.50%,"43,428",58.10%,"18,951",30.90%,"36,113",10.10%,345,,"60,856",20.20%,,,"29,039",63.20%,"17,128",17.30%,"1,214",-34.20%,,,,,,,"1,379",,,,0,-,,,,,,,,,,
2007년,1월,"1,281,530",30.10%,,"240,350",24.80%,"410,312",52.70%,"24,548",22.70%,"79,438",30.80%,"126,492",6.40%,"48,442",25.00%,"25,627",38.90%,"46,725",15.10%,759,15.00%,"70,733",20.70%,"47,808",,"33,501",39.70%,"27,254",81.10%,"4,910",35.80%,,,"11,657",-54.70%,,,"2,405",82.80%,"27,236",20.50%,0,-,,,"12,811",8.30%,,,"2,548",,178,
2007년,2월,"982,591",4.00%,,"202,365",16.10%,"349,648",8.60%,"18,583",0.40%,"64,272",8.90%,"86,443",-24.10%,"44,722",5.90%,"16,886",-7.20%,"31,395",-23.10%,396,-12.20%,"49,579",4.00%,"34,676",,"22,552",-4.50%,"19,973",12.80%,"4,526",-21.70%,,,,,,,"1,348",19.60%,,,0,-,,,,,,,"1,261",,115,
2007년,3월,"1,046,055",27.00%,,"188,721",26.60%,"392,147",45.20%,"20,390",27.70%,"64,220",19.10%,"96,387",4.80%,"49,367",21.50%,"14,218",15.80%,"41,943",16.00%,289,-40.00%,"51,404",33.50%,"38,827",,"26,946",19.20%,"19,756",27.20%,"3,730",4.80%,,,,,,,"1,541",38.20%,,,16,-,,,,,,,996,,105,
2007년,4월,"989,018",15.70%,,"190,558",17.20%,"372,435",25.70%,"16,312",19.20%,"59,216",7.50%,"76,757",0.50%,"45,000",35.20%,"13,901",32.30%,"32,193",1.30%,306,-5.00%,"41,378",5.80%,"28,858",,"24,052",4.20%,"16,230",14.00%,"3,669",37.90%,,,,,,,961,40.50%,"14,548",35.10%,15,-,,,,,,,677,,65,
2007년,5월,"1,107,498",22.20%,,"211,355",31.20%,"418,467",31.40%,"17,487",24.80%,"65,183",23.40%,"82,439",3.40%,"35,698",31.50%,"15,983",49.30%,"34,393",0.50%,246,-34.40%,"50,686",22.50%,"24,837",,"29,589",21.00%,"13,222",4.20%,"2,630",21.10%,,,,,,,917,-17.10%,,,30,233.30%,,,,,,,447,,151,
2007년,6월,"1,064,076",16.20%,,"190,330",23.80%,"390,621",26.30%,"16,673",1.20%,"61,598",18.20%,"77,003",-0.90%,"40,126",55.30%,"15,325",46.20%,"37,829",4.10%,354,-1.90%,"48,538",15.10%,"24,413",,"27,530",21.10%,"12,814",-6.40%,"2,677",46.80%,,,,,,,952,-55.60%,,,17,30.80%,,,,,,,533,,111,
2007년,7월,"1,297,398",18.10%,,"254,234",28.60%,"448,600",23.30%,"15,946",10.30%,"77,832",29.20%,"91,551",2.20%,"33,045",15.80%,"17,714",33.00%,"46,087",0.90%,456,-21.50%,"62,692",16.30%,"21,962",,"31,048",32.50%,"21,377",35.50%,"1,951",14.50%,,,"20,616",45.40%,,,"1,303",-54.40%,"21,146",25.70%,19,-,,,,,,,"1,287",,185,
2007년,8월,"1,308,664",12.80%,,"271,377",23.20%,"481,518",18.30%,"18,648",12.40%,"88,813",30.70%,"96,102",0.00%,"39,469",4.50%,"22,680",44.50%,"45,882",2.30%,354,-44.40%,"54,640",15.60%,"21,741",,"28,685",11.60%,"22,118",18.00%,"2,874",195.10%,,,,,,,"1,031",-66.70%,,,0,-,,,,,,,999,,37,
2007년,9월,"1,015,650",9.00%,,"201,286",28.70%,"361,155",8.10%,"17,686",36.00%,"66,497",28.40%,"70,859",4.00%,"37,257",16.40%,"17,141",83.90%,"30,224",3.10%,309,-24.80%,"43,061",13.60%,"15,211",,"23,566",5.30%,"14,251",-4.00%,"1,160",8.60%,,,,,,,784,-10.10%,,,0,-100.00%,,,,,,,873,,58,
2007년,10월,"1,078,092",9.50%,,"222,737",18.70%,"414,382",11.60%,"15,482",-7.50%,"67,708",10.20%,"77,173",-1.00%,"31,305",-4.40%,"16,824",47.70%,"33,353",-4.70%,369,59.10%,"49,699",7.20%,"20,239",,"28,718",18.10%,"13,546",-4.90%,"2,208",24.00%,,,,,,,495,-57.80%,"21,653",7.20%,25,-,,,,,,,863,,68,
2007년,11월,"1,072,557",8.60%,,"218,488",23.20%,"379,382",13.90%,"21,100",18.80%,"81,131",25.80%,"96,597",-4.30%,"38,481",-2.40%,"20,476",52.70%,"43,948",0.40%,567,28.60%,"63,988",9.50%,"23,226",,"32,219",-2.00%,"28,343",43.00%,"2,344",39.40%,,,,,,,720,-48.40%,,,11,10.00%,,,,,,,979,,49,
2007년,12월,"1,081,848",6.50%,,"209,000",13.20%,"358,085",9.30%,"22,959",20.60%,"100,323",26.70%,"105,849",4.10%,"43,462",0.10%,"28,642",51.10%,"39,638",9.80%,465,34.80%,"66,912",10.00%,"28,111",,"28,840",-0.70%,"15,983",-6.70%,"1,157",-4.70%,,,,,,,"1,364",-1.10%,,,0,-,,,,,,,"1,050",,120,
2008년,1월,"1,322,909",3.20%,,"271,700",13.00%,"426,625",4.00%,"32,744",33.40%,"101,818",28.20%,"118,417",-6.40%,"47,209",-2.50%,"35,580",38.80%,"50,432",7.90%,630,-17.00%,"69,522",-1.70%,"36,472",-23.70%,"33,112",-1.20%,"26,216",-3.80%,"5,692",15.90%,"14,478",,"14,635",25.50%,,,"2,135",-11.20%,"28,809",5.80%,0,-,97,,"14,530",13.40%,,,"2,678",5.10%,117,-3.80%
2008년,2월,"1,132,463",15.30%,,"234,900",16.10%,"397,565",13.70%,"28,894",55.50%,"96,445",50.10%,"99,834",15.50%,"47,485",6.20%,"33,682",99.50%,"40,998",30.60%,402,1.50%,"56,832",14.60%,"31,197",-10.00%,"26,154",16.00%,"26,603",33.20%,"6,257",38.20%,"9,545",,,,,,"1,405",4.20%,,,0,-,,,,,,,"1,416",12.30%,112,33.20%
2008년,3월,"983,589",-6.00%,,"187,500",-0.60%,"349,458",-11.00%,"21,292",4.40%,"72,756",13.30%,"85,840",-10.90%,"46,737",-5.30%,"22,418",36.60%,"39,683",-5.40%,312,8.00%,"48,793",-5.10%,"29,867",-23.10%,"29,470",9.40%,"21,760",10.10%,"3,413",-8.50%,"9,440",,,,,,"1,381",-10.40%,,,0,-100.00%,,,,,,,"1,197",20.20%,126,10.10%
2008년,4월,"1,026,750",3.80%,,"203,800",6.90%,"368,551",-1.00%,"21,654",32.80%,"69,794",17.90%,"76,784",0.00%,"41,475",-7.80%,"19,164",0.80%,"33,946",5.40%,402,31.40%,"45,382",9.70%,"24,810",-14.00%,"23,759",-1.20%,"21,229",30.80%,"4,169",13.60%,"13,006",,,,,,753,-21.60%,"15,721",8.10%,0,-100.00%,,,,,,,607,-10.30%,32,30.80%
2008년,5월,"1,099,977",-0.70%,,"229,000",8.30%,"380,551",-9.10%,"23,256",33.00%,"86,465",32.60%,"78,793",-4.40%,"38,479",7.80%,"26,232",64.70%,"36,412",5.90%,288,17.10%,"49,476",-2.40%,"19,870",-20.00%,"30,802",4.10%,"22,457",69.80%,"3,058",16.30%,"12,685",,,,,,583,-36.40%,,,0,-100.00%,,,,,,,639,43.00%,68,69.80%
2008년,6월,"1,004,715",-5.60%,,"195,700",2.80%,"304,727",-22.00%,"23,442",40.60%,"73,435",19.20%,"77,235",0.30%,"24,221",-39.60%,"21,424",39.80%,"35,998",-4.80%,285,-19.50%,"52,711",8.60%,"18,230",-25.30%,"29,357",6.60%,"20,348",58.80%,"1,899",-29.10%,"9,711",,,,,,787,-17.30%,,,0,-100.00%,,,,,,,497,-6.80%,57,-48.60%
2008년,7월,"1,135,843",-12.50%,,"237,947",-6.40%,"327,184",-27.10%,"18,310",14.80%,"78,498",2.90%,"80,120",-12.50%,"32,443",-1.80%,"22,828",28.90%,"39,614",-14.00%,453,-0.70%,"57,903",-7.60%,"19,470",-11.30%,"27,698",-10.80%,"27,512",28.70%,"1,756",-10.00%,"11,274",,"28,761",39.50%,,,985,-24.40%,"20,749",-1.90%,0,-100.00%,,,,,,,"1,274",-1.00%,89,-51.90%
2008년,8월,"1,163,809",-11.10%,,"248,154",-8.60%,"341,625",-29.10%,"22,410",20.20%,"88,001",-0.90%,"85,350",-11.20%,"49,786",26.10%,"30,415",34.10%,"42,338",-7.70%,339,-4.20%,"52,803",-3.40%,"21,816",0.30%,"32,355",12.80%,"27,473",24.20%,"1,974",-31.30%,"10,524",,,,,,"1,093",6.00%,,,0,-,,,,,,,871,-12.80%,101,173.00%
